model,repeat,case_id,task_class,tier,condition,condition_label,instruction,expected_command,raw_response,normalized_command,parsed_kind,parsed_value,valid,action_family_correct,parameter_correct,command_correct,executable_correct,diagnostic_command,diagnostic_method,diagnostic_command_correct,failure_class,latency_ms,error
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,decision_complexity,D1,en,English,"If your health is below 15, raise the shield; otherwise move forward.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,677.088,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,decision_complexity,D1,es_rioplatense,Rioplatense Spanish,"Si tenés menos de 15 puntos de salud, levantá el escudo; si no, avanzá.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,662.447,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d4-priority-shield-c,decision_complexity,D4,en,English,"Use this policy in order: if your shield is raised, lower it. Otherwise, if the opponent has less than 10 health, fire. Otherwise, raise your shield.",S1,S0,S0,shield_set,0.0,True,True,False,False,False,S0,strict,False,action_error,12023.631,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d4-priority-shield-c,decision_complexity,D4,es_rioplatense,Rioplatense Spanish,"Aplicá esta política en orden: si tenés el escudo levantado, bajalo. Si no, si el rival tiene menos de 10 puntos de salud, dispará. En cualquier otro caso, levantá el escudo.",S1,S0,S0,shield_set,0.0,True,True,False,False,False,S0,strict,False,action_error,274.659,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d4-priority-shield-c,decision_complexity,D4,es_standard,standardised Spanish,"Aplica esta política en orden: si tienes el escudo levantado, bájalo. Si no, si el rival tiene menos de 10 puntos de salud, dispara. En cualquier otro caso, levanta el escudo.",S1,S0,S0,shield_set,0.0,True,True,False,False,False,S0,strict,False,action_error,292.237,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-health-difference-b,decision_complexity,D5,en,English,"If your health is at least 10 points higher than the opponent's health, fire; otherwise raise the shield.",S1,B,B,shoot,,True,False,False,False,False,B,strict,False,action_error,323.535,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-health-difference-b,decision_complexity,D5,es_standard,standardised Spanish,"Si tienes al menos 10 puntos de salud más que el rival, dispara; si no, levanta el escudo.",S1,B,B,shoot,,True,False,False,False,False,B,strict,False,action_error,218.869,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-health-difference-b,decision_complexity,D5,es_rioplatense,Rioplatense Spanish,"Si tenés al menos 10 puntos de salud más que el rival, dispará; si no, levantá el escudo.",S1,B,B,shoot,,True,False,False,False,False,B,strict,False,action_error,231.864,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d6-distance-composite-d,decision_complexity,D6,en,English,"First compute the horizontal distance between you and the opponent. If the distance is at least 0.4: if your health is lower than the opponent's, raise the shield; otherwise move forward 0.1. If the distance is below 0.4: if the opponent's shield is down, fire; otherwise turn counterclockwise 90 degrees.",A90.0,S1,S1,shield_set,1.0,True,False,False,False,False,S1,strict,False,action_error,385.349,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d6-distance-composite-d,decision_complexity,D6,es_rioplatense,Rioplatense Spanish,"Primero calculá la distancia horizontal entre vos y el rival. Si la distancia es de al menos 0.4: si tenés menos salud que el rival, levantá el escudo; si no, avanzá 0.1. Si la distancia es menor que 0.4: si el rival tiene el escudo bajo, dispará; si no, girá 90 grados en sentido antihorario.",A90.0,S1,S1,shield_set,1.0,True,False,False,False,False,S1,strict,False,action_error,312.291,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d6-distance-composite-d,decision_complexity,D6,es_standard,standardised Spanish,"Primero calcula la distancia horizontal entre tú y el rival. Si la distancia es de al menos 0.4: si tienes menos salud que el rival, levanta el escudo; si no, avanza 0.1. Si la distancia es menor que 0.4: si el rival tiene el escudo bajo, dispara; si no, gira 90 grados en sentido antihorario.",A90.0,S1,S1,shield_set,1.0,True,False,False,False,False,S1,strict,False,action_error,323.889,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d4-priority-health-a,decision_complexity,D4,es_rioplatense,Rioplatense Spanish,"Aplicá esta política en orden: si tenés menos de 10 puntos de salud, levantá el escudo. Si no, si el rival tiene el escudo levantado, avanzá. En cualquier otro caso, dispará.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,366.494,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d4-priority-health-a,decision_complexity,D4,es_standard,standardised Spanish,"Aplica esta política en orden: si tienes menos de 10 puntos de salud, levanta el escudo. Si no, si el rival tiene el escudo levantado, avanza. En cualquier otro caso, dispara.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,266.429,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d4-priority-health-a,decision_complexity,D4,en,English,"Use this policy in order: if your health is below 10, raise the shield. Otherwise, if the opponent's shield is raised, move forward. Otherwise, fire.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,251.004,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-c,decision_complexity,D3,es_rioplatense,Rioplatense Spanish,"Si exactamente uno de los dos escudos está levantado, avanzá; si no, dispará.",M,M,M,move,,True,True,,True,True,M,strict,True,correct,323.95,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-c,decision_complexity,D3,es_standard,standardised Spanish,"Si exactamente uno de los dos escudos está levantado, avanza; si no, dispara.",M,M,M,move,,True,True,,True,True,M,strict,True,correct,147.86,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-c,decision_complexity,D3,en,English,"If exactly one of the two shields is raised, move forward; otherwise fire.",M,M,M,move,,True,True,,True,True,M,strict,True,correct,176.061,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-health-difference-d,decision_complexity,D5,es_standard,standardised Spanish,"Si tienes al menos 10 puntos de salud más que el rival, dispara; si no, levanta el escudo.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,326.781,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-health-difference-d,decision_complexity,D5,es_rioplatense,Rioplatense Spanish,"Si tenés al menos 10 puntos de salud más que el rival, dispará; si no, levantá el escudo.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,222.593,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-health-difference-d,decision_complexity,D5,en,English,"If your health is at least 10 points higher than the opponent's health, fire; otherwise raise the shield.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,216.37,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-health-b,decision_complexity,D1,en,English,"If your health is below 15, raise the shield; otherwise move forward.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,335.975,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-health-b,decision_complexity,D1,es_rioplatense,Rioplatense Spanish,"Si tenés menos de 15 puntos de salud, levantá el escudo; si no, avanzá.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,243.546,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-health-b,decision_complexity,D1,es_standard,standardised Spanish,"Si tienes menos de 15 puntos de salud, levanta el escudo; si no, avanza.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,230.405,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d4-priority-shield-d,decision_complexity,D4,en,English,"Use this policy in order: if your shield is raised, lower it. Otherwise, if the opponent has less than 10 health, fire. Otherwise, raise your shield.",S0,S0,S0,shield_set,0.0,True,True,True,True,True,S0,strict,True,correct,350.373,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d4-priority-shield-d,decision_complexity,D4,es_rioplatense,Rioplatense Spanish,"Aplicá esta política en orden: si tenés el escudo levantado, bajalo. Si no, si el rival tiene menos de 10 puntos de salud, dispará. En cualquier otro caso, levantá el escudo.",S0,S0,S0,shield_set,0.0,True,True,True,True,True,S0,strict,True,correct,266.223,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d4-priority-shield-d,decision_complexity,D4,es_standard,standardised Spanish,"Aplica esta política en orden: si tienes el escudo levantado, bájalo. Si no, si el rival tiene menos de 10 puntos de salud, dispara. En cualquier otro caso, levanta el escudo.",S0,S0,S0,shield_set,0.0,True,True,True,True,True,S0,strict,True,correct,293.789,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d6-distance-composite-b,decision_complexity,D6,es_rioplatense,Rioplatense Spanish,"Primero calculá la distancia horizontal entre vos y el rival. Si la distancia es de al menos 0.4: si tenés menos salud que el rival, levantá el escudo; si no, avanzá 0.1. Si la distancia es menor que 0.4: si el rival tiene el escudo bajo, dispará; si no, girá 90 grados en sentido antihorario.",M0.1,S1,S1,shield_set,1.0,True,False,False,False,False,S1,strict,False,action_error,407.41,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d6-distance-composite-b,decision_complexity,D6,en,English,"First compute the horizontal distance between you and the opponent. If the distance is at least 0.4: if your health is lower than the opponent's, raise the shield; otherwise move forward 0.1. If the distance is below 0.4: if the opponent's shield is down, fire; otherwise turn counterclockwise 90 degrees.",M0.1,S1,S1,shield_set,1.0,True,False,False,False,False,S1,strict,False,action_error,297.009,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d6-distance-composite-b,decision_complexity,D6,es_standard,standardised Spanish,"Primero calcula la distancia horizontal entre tú y el rival. Si la distancia es de al menos 0.4: si tienes menos salud que el rival, levanta el escudo; si no, avanza 0.1. Si la distancia es menor que 0.4: si el rival tiene el escudo bajo, dispara; si no, gira 90 grados en sentido antihorario.",M0.1,S1,S1,shield_set,1.0,True,False,False,False,False,S1,strict,False,action_error,349.935,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d6-priority-composite-c,decision_complexity,D6,en,English,"Apply these rules in order. First, if your shield is raised, lower it. Otherwise, if the opponent has 10 health or less, fire. Otherwise, if your health is less than or equal to the opponent's health, raise the shield. Otherwise, move forward 0.1.",S1,S0,S0,shield_set,0.0,True,True,False,False,False,S0,strict,False,action_error,1092.244,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d6-priority-composite-c,decision_complexity,D6,es_standard,standardised Spanish,"Aplica estas reglas en orden. Primero, si tienes el escudo levantado, bájalo. Si no, si el rival tiene 10 puntos de salud o menos, dispara. Si no, si tu salud es menor o igual que la del rival, levanta el escudo. En cualquier otro caso, avanza 0.1.",S1,S0,S0,shield_set,0.0,True,True,False,False,False,S0,strict,False,action_error,422.738,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d6-priority-composite-c,decision_complexity,D6,es_rioplatense,Rioplatense Spanish,"Aplicá estas reglas en orden. Primero, si tenés el escudo levantado, bajalo. Si no, si el rival tiene 10 puntos de salud o menos, dispará. Si no, si tu salud es menor o igual que la del rival, levantá el escudo. En cualquier otro caso, avanzá 0.1.",S1,S0,S0,shield_set,0.0,True,True,False,False,False,S0,strict,False,action_error,486.537,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-conjunction-a,decision_complexity,D3,es_standard,standardised Spanish,"Si tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo; si no, dispara.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,684.334,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-conjunction-a,decision_complexity,D3,en,English,"If your health is below 15 and your shield is down, raise the shield; otherwise fire.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,488.599,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-conjunction-a,decision_complexity,D3,es_rioplatense,Rioplatense Spanish,"Si tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo; si no, dispará.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,499.913,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-c,decision_complexity,D2,es_standard,standardised Spanish,"Si tienes menos salud que el rival, levanta el escudo; si no, dispara.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,627.44,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-c,decision_complexity,D2,en,English,"If your health is lower than the opponent's health, raise the shield; otherwise fire.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,315.914,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-c,decision_complexity,D2,es_rioplatense,Rioplatense Spanish,"Si tenés menos salud que el rival, levantá el escudo; si no, dispará.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,350.366,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-shield-a,decision_complexity,D1,en,English,"If your shield is raised, lower it; otherwise fire.",S0,S0,S0,shield_set,0.0,True,True,True,True,True,S0,strict,True,correct,504.652,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-shield-a,decision_complexity,D1,es_rioplatense,Rioplatense Spanish,"Si tenés el escudo levantado, bajalo; si no, dispará.",S0,S0,S0,shield_set,0.0,True,True,True,True,True,S0,strict,True,correct,301.947,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-shield-a,decision_complexity,D1,es_standard,standardised Spanish,"Si tienes el escudo levantado, bájalo; si no, dispara.",S0,S0,S0,shield_set,0.0,True,True,True,True,True,S0,strict,True,correct,302.154,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d6-priority-composite-b,decision_complexity,D6,es_rioplatense,Rioplatense Spanish,"Aplicá estas reglas en orden. Primero, si tenés el escudo levantado, bajalo. Si no, si el rival tiene 10 puntos de salud o menos, dispará. Si no, si tu salud es menor o igual que la del rival, levantá el escudo. En cualquier otro caso, avanzá 0.1.",B,S0,S0,shield_set,0.0,True,False,,False,False,S0,strict,False,action_error,625.444,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d6-priority-composite-b,decision_complexity,D6,es_standard,standardised Spanish,"Aplica estas reglas en orden. Primero, si tienes el escudo levantado, bájalo. Si no, si el rival tiene 10 puntos de salud o menos, dispara. Si no, si tu salud es menor o igual que la del rival, levanta el escudo. En cualquier otro caso, avanza 0.1.",B,S0,S0,shield_set,0.0,True,False,,False,False,S0,strict,False,action_error,460.783,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d6-priority-composite-b,decision_complexity,D6,en,English,"Apply these rules in order. First, if your shield is raised, lower it. Otherwise, if the opponent has 10 health or less, fire. Otherwise, if your health is less than or equal to the opponent's health, raise the shield. Otherwise, move forward 0.1.",B,S0,S0,shield_set,0.0,True,False,,False,False,S0,strict,False,action_error,450.16,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d4-priority-shield-a,decision_complexity,D4,es_standard,standardised Spanish,"Aplica esta política en orden: si tienes el escudo levantado, bájalo. Si no, si el rival tiene menos de 10 puntos de salud, dispara. En cualquier otro caso, levanta el escudo.",S0,S0,S0,shield_set,0.0,True,True,True,True,True,S0,strict,True,correct,600.547,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d4-priority-shield-a,decision_complexity,D4,en,English,"Use this policy in order: if your shield is raised, lower it. Otherwise, if the opponent has less than 10 health, fire. Otherwise, raise your shield.",S0,S0,S0,shield_set,0.0,True,True,True,True,True,S0,strict,True,correct,413.081,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d4-priority-shield-a,decision_complexity,D4,es_rioplatense,Rioplatense Spanish,"Aplicá esta política en orden: si tenés el escudo levantado, bajalo. Si no, si el rival tiene menos de 10 puntos de salud, dispará. En cualquier otro caso, levantá el escudo.",S0,S0,S0,shield_set,0.0,True,True,True,True,True,S0,strict,True,correct,438.28,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-x-distance-b,decision_complexity,D5,en,English,"Compute the horizontal distance between your x coordinate and the opponent's x coordinate. If it is at least 0.4, move forward 0.1; otherwise turn clockwise 90 degrees.",C90.0,C90,C90.0,rotate_cw,90.0,True,True,True,True,True,C90.0,strict,True,correct,591.926,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-x-distance-b,decision_complexity,D5,es_rioplatense,Rioplatense Spanish,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es de al menos 0.4, avanzá 0.1; si no, girá 90 grados en sentido horario.",C90.0,C90,C90.0,rotate_cw,90.0,True,True,True,True,True,C90.0,strict,True,correct,448.162,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-x-distance-b,decision_complexity,D5,es_standard,standardised Spanish,"Calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es de al menos 0.4, avanza 0.1; si no, gira 90 grados en sentido horario.",C90.0,C90,C90.0,rotate_cw,90.0,True,True,True,True,True,C90.0,strict,True,correct,445.478,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-b,decision_complexity,D3,es_rioplatense,Rioplatense Spanish,"Si exactamente uno de los dos escudos está levantado, avanzá; si no, dispará.",M,B,B,shoot,,True,False,,False,False,B,strict,False,action_error,478.558,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-b,decision_complexity,D3,en,English,"If exactly one of the two shields is raised, move forward; otherwise fire.",M,M,M,move,,True,True,,True,True,M,strict,True,correct,273.381,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-b,decision_complexity,D3,es_standard,standardised Spanish,"Si exactamente uno de los dos escudos está levantado, avanza; si no, dispara.",M,M,M,move,,True,True,,True,True,M,strict,True,correct,326.584,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-d,decision_complexity,D3,es_standard,standardised Spanish,"Si exactamente uno de los dos escudos está levantado, avanza; si no, dispara.",B,M,M,move,,True,False,,False,False,M,strict,False,action_error,496.995,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-d,decision_complexity,D3,es_rioplatense,Rioplatense Spanish,"Si exactamente uno de los dos escudos está levantado, avanzá; si no, dispará.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,225.016,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-d,decision_complexity,D3,en,English,"If exactly one of the two shields is raised, move forward; otherwise fire.",B,M,M,move,,True,False,,False,False,M,strict,False,action_error,274.341,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-c,decision_complexity,D2,es_standard,standardised Spanish,"Si tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario; si no, gira 90 grados en sentido horario.",C90.0,A90,A90.0,rotate_ccw,90.0,True,False,True,False,False,A90.0,strict,False,action_error,576.917,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-c,decision_complexity,D2,en,English,"If your x coordinate is greater than the opponent's x coordinate, turn counterclockwise 90 degrees; otherwise turn clockwise 90 degrees.",C90.0,A90,A90.0,rotate_ccw,90.0,True,False,True,False,False,A90.0,strict,False,action_error,428.139,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-c,decision_complexity,D2,es_rioplatense,Rioplatense Spanish,"Si tu coordenada x es mayor que la del rival, girá 90 grados en sentido antihorario; si no, girá 90 grados en sentido horario.",C90.0,A90,A90.0,rotate_ccw,90.0,True,False,True,False,False,A90.0,strict,False,action_error,445.518,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-conjunction-b,decision_complexity,D3,en,English,"If your health is below 15 and your shield is down, raise the shield; otherwise fire.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,550.94,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-conjunction-b,decision_complexity,D3,es_standard,standardised Spanish,"Si tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo; si no, dispara.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,400.327,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-conjunction-b,decision_complexity,D3,es_rioplatense,Rioplatense Spanish,"Si tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo; si no, dispará.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,386.707,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-a,decision_complexity,D3,es_rioplatense,Rioplatense Spanish,"Si exactamente uno de los dos escudos está levantado, avanzá; si no, dispará.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,522.364,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-a,decision_complexity,D3,en,English,"If exactly one of the two shields is raised, move forward; otherwise fire.",B,M,M,move,,True,False,,False,False,M,strict,False,action_error,280.806,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-a,decision_complexity,D3,es_standard,standardised Spanish,"Si exactamente uno de los dos escudos está levantado, avanza; si no, dispara.",B,M,M,move,,True,False,,False,False,M,strict,False,action_error,338.558,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d4-priority-health-b,decision_complexity,D4,en,English,"Use this policy in order: if your health is below 10, raise the shield. Otherwise, if the opponent's shield is raised, move forward. Otherwise, fire.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,584.285,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d4-priority-health-b,decision_complexity,D4,es_standard,standardised Spanish,"Aplica esta política en orden: si tienes menos de 10 puntos de salud, levanta el escudo. Si no, si el rival tiene el escudo levantado, avanza. En cualquier otro caso, dispara.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,436.618,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d4-priority-health-b,decision_complexity,D4,es_rioplatense,Rioplatense Spanish,"Aplicá esta política en orden: si tenés menos de 10 puntos de salud, levantá el escudo. Si no, si el rival tiene el escudo levantado, avanzá. En cualquier otro caso, dispará.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,422.185,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-x-distance-a,decision_complexity,D5,es_rioplatense,Rioplatense Spanish,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es de al menos 0.4, avanzá 0.1; si no, girá 90 grados en sentido horario.",M0.1,C90,C90.0,rotate_cw,90.0,True,False,False,False,False,C90.0,strict,False,action_error,642.887,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-x-distance-a,decision_complexity,D5,es_standard,standardised Spanish,"Calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es de al menos 0.4, avanza 0.1; si no, gira 90 grados en sentido horario.",M0.1,M0.1,M0.1,move,0.1,True,True,True,True,True,M0.1,strict,True,correct,492.834,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-x-distance-a,decision_complexity,D5,en,English,"Compute the horizontal distance between your x coordinate and the opponent's x coordinate. If it is at least 0.4, move forward 0.1; otherwise turn clockwise 90 degrees.",M0.1,C90,C90.0,rotate_cw,90.0,True,False,False,False,False,C90.0,strict,False,action_error,442.838,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-d,decision_complexity,D2,en,English,"If your x coordinate is greater than the opponent's x coordinate, turn counterclockwise 90 degrees; otherwise turn clockwise 90 degrees.",A90.0,A90,A90.0,rotate_ccw,90.0,True,True,True,True,True,A90.0,strict,True,correct,556.875,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-d,decision_complexity,D2,es_standard,standardised Spanish,"Si tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario; si no, gira 90 grados en sentido horario.",A90.0,A90,A90.0,rotate_ccw,90.0,True,True,True,True,True,A90.0,strict,True,correct,452.736,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-d,decision_complexity,D2,es_rioplatense,Rioplatense Spanish,"Si tu coordenada x es mayor que la del rival, girá 90 grados en sentido antihorario; si no, girá 90 grados en sentido horario.",A90.0,A90,A90.0,rotate_ccw,90.0,True,True,True,True,True,A90.0,strict,True,correct,461.367,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-a,decision_complexity,D2,es_standard,standardised Spanish,"Si tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario; si no, gira 90 grados en sentido horario.",A90.0,A90,A90.0,rotate_ccw,90.0,True,True,True,True,True,A90.0,strict,True,correct,587.126,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-a,decision_complexity,D2,en,English,"If your x coordinate is greater than the opponent's x coordinate, turn counterclockwise 90 degrees; otherwise turn clockwise 90 degrees.",A90.0,A90,A90.0,rotate_ccw,90.0,True,True,True,True,True,A90.0,strict,True,correct,427.861,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-a,decision_complexity,D2,es_rioplatense,Rioplatense Spanish,"Si tu coordenada x es mayor que la del rival, girá 90 grados en sentido antihorario; si no, girá 90 grados en sentido horario.",A90.0,A90,A90.0,rotate_ccw,90.0,True,True,True,True,True,A90.0,strict,True,correct,454.41,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-conjunction-c,decision_complexity,D3,es_rioplatense,Rioplatense Spanish,"Si tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo; si no, dispará.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,591.291,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-conjunction-c,decision_complexity,D3,en,English,"If your health is below 15 and your shield is down, raise the shield; otherwise fire.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,369.725,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-conjunction-c,decision_complexity,D3,es_standard,standardised Spanish,"Si tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo; si no, dispara.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,416.139,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-shield-b,decision_complexity,D1,es_standard,standardised Spanish,"Si tienes el escudo levantado, bájalo; si no, dispara.",B,S0,S0,shield_set,0.0,True,False,,False,False,S0,strict,False,action_error,580.294,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-shield-b,decision_complexity,D1,en,English,"If your shield is raised, lower it; otherwise fire.",B,S0,S0,shield_set,0.0,True,False,,False,False,S0,strict,False,action_error,299.96,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-shield-b,decision_complexity,D1,es_rioplatense,Rioplatense Spanish,"Si tenés el escudo levantado, bajalo; si no, dispará.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,325.551,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d6-distance-composite-c,decision_complexity,D6,es_standard,standardised Spanish,"Primero calcula la distancia horizontal entre tú y el rival. Si la distancia es de al menos 0.4: si tienes menos salud que el rival, levanta el escudo; si no, avanza 0.1. Si la distancia es menor que 0.4: si el rival tiene el escudo bajo, dispara; si no, gira 90 grados en sentido antihorario.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,714.035,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d6-distance-composite-c,decision_complexity,D6,es_rioplatense,Rioplatense Spanish,"Primero calculá la distancia horizontal entre vos y el rival. Si la distancia es de al menos 0.4: si tenés menos salud que el rival, levantá el escudo; si no, avanzá 0.1. Si la distancia es menor que 0.4: si el rival tiene el escudo bajo, dispará; si no, girá 90 grados en sentido antihorario.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,549.617,
