model,repeat,case_id,policy_id,tier,language,language_label,order,interface,instruction,expected_command,first_position_command,second_position_command,full_response,response_chars,scored_response,normalized_command,valid,command_correct,selected_first_position,selected_second_position,final_extraction_error,latency_ms,provider_error,ollama_done_reason,ollama_eval_count
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,D5-P1,D5,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés al menos 10 puntos de salud más que el rival, dispará. Cuando no tenés al menos 10 puntos de salud más que el rival, levantá el escudo.",B,B,S1,FINAL: S1,9,S1,S1,True,False,False,True,,2991.122,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-d,D3-P2,D3,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando los dos escudos están en el mismo estado, dispará. Cuando exactamente uno de los dos escudos está levantado, avanzá.",B,B,M,FINAL: B,8,B,B,True,True,True,False,,2472.895,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-b,D2-P1,D2,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes menos salud que el rival, levanta el escudo. Cuando tienes tanta o más salud que el rival, dispara.",B,S1,B,FINAL: S1,9,S1,S1,True,False,True,False,,2569.405,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-d,D5-P2,D5,es_rioplatense,Rioplatense voseo,a_first,format_only,"Primero calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es de al menos 0.4, avanzá 0.1. Cuando la distancia es menor que 0.4, girá 90 grados en sentido horario.",C90.0,M0.1,C90.0,FINAL: M0.1,11,M0.1,M0.1,True,False,True,False,,3240.518,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-d,D3-P2,D3,es_standard,Tuteo Spanish,a_first,format_only,"Cuando exactamente uno de los dos escudos está levantado, avanza. Cuando los dos escudos están en el mismo estado, dispara.",B,M,B,FINAL: B,8,B,B,True,True,False,True,,2348.651,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_standard,Tuteo Spanish,b_first,format_only,"Cuando los dos escudos están en el mismo estado, dispara. Cuando exactamente uno de los dos escudos está levantado, avanza.",M,B,M,FINAL: M,8,M,M,True,True,False,True,,1375.928,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-b,D3-P1,D3,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes 15 puntos de salud o más o el escudo está levantado, dispara. Cuando tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo.",B,B,S1,FINAL: B,8,B,B,True,True,True,False,,2737.85,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-a,D1-P1,D1,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés el escudo levantado, bajalo. Cuando tenés el escudo bajo, dispará.",S0,S0,B,FINAL: S0,9,S0,S0,True,True,True,False,,2385.484,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,D3-P1,D3,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes 15 puntos de salud o más o el escudo está levantado, dispara. Cuando tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo.",B,B,S1,FINAL: B,8,B,B,True,True,True,False,,2752.683,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,D1-P1,D1,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes el escudo levantado, bájalo. Cuando tienes el escudo bajo, dispara.",B,S0,B,FINAL: S0,9,S0,S0,True,False,True,False,,2342.37,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,D5-P2,D5,es_standard,Tuteo Spanish,b_first,format_only,"Primero calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es menor que 0.4, gira 90 grados en sentido horario. Cuando la distancia es de al menos 0.4, avanza 0.1.",M0.1,C90.0,M0.1,FINAL: M0.1,11,M0.1,M0.1,True,True,False,True,,3087.726,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,D5-P2,D5,es_rioplatense,Rioplatense voseo,b_first,format_only,"Primero calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es menor que 0.4, girá 90 grados en sentido horario. Cuando la distancia es de al menos 0.4, avanzá 0.1.",C90.0,C90.0,M0.1,FINAL: M0.1,11,M0.1,M0.1,True,False,False,True,,2597.605,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-d,D2-P2,D2,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario. Cuando tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario.",A90.0,A90.0,C90.0,FINAL: A90,10,A90,A90.0,True,True,True,False,,2476.861,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-d,D5-P2,D5,es_rioplatense,Rioplatense voseo,b_first,format_only,"Primero calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es menor que 0.4, girá 90 grados en sentido horario. Cuando la distancia es de al menos 0.4, avanzá 0.1.",C90.0,C90.0,M0.1,FINAL: M0.1,11,M0.1,M0.1,True,False,False,True,,2580.91,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-b,D2-P1,D2,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés tanta o más salud que el rival, dispará. Cuando tenés menos salud que el rival, levantá el escudo.",B,B,S1,FINAL: B,8,B,B,True,True,True,False,,2213.608,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-d,D2-P2,D2,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario. Cuando tu coordenada x es mayor que la del rival, girá 90 grados en sentido antihorario.",A90.0,C90.0,A90.0,FINAL: C90,10,C90,C90.0,True,False,True,False,,2853.269,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-b,D3-P1,D3,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés 15 puntos de salud o más o el escudo está levantado, dispará. Cuando tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo.",B,B,S1,FINAL: B,8,B,B,True,True,True,False,,2606.195,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,D3-P1,D3,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés 15 puntos de salud o más o el escudo está levantado, dispará. Cuando tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo.",B,B,S1,FINAL: B,8,B,B,True,True,True,False,,2518.825,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-d,D1-P1,D1,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes el escudo bajo, dispara. Cuando tienes el escudo levantado, bájalo.",B,B,S0,FINAL: B,8,B,B,True,True,True,False,,2095.473,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-c,D2-P2,D2,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario. Cuando tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario.",C90.0,A90.0,C90.0,FINAL: A90,10,A90,A90.0,True,False,True,False,,2763.468,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,D1-P1,D1,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés el escudo bajo, dispará. Cuando tenés el escudo levantado, bajalo.",S0,B,S0,FINAL: S0,9,S0,S0,True,True,False,True,,2195.013,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando exactamente uno de los dos escudos está levantado, avanzá. Cuando los dos escudos están en el mismo estado, dispará.",M,M,B,FINAL: M,8,M,M,True,True,True,False,,2085.587,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-a,D3-P2,D3,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando exactamente uno de los dos escudos está levantado, avanzá. Cuando los dos escudos están en el mismo estado, dispará.",B,M,B,FINAL: B,8,B,B,True,True,False,True,,2046.21,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,D5-P1,D5,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes al menos 10 puntos de salud más que el rival, dispara. Cuando no tienes al menos 10 puntos de salud más que el rival, levanta el escudo.",S1,B,S1,FINAL: S1,9,S1,S1,True,True,False,True,,2503.378,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-b,D1-P2,D1,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés menos de 15 puntos de salud, levantá el escudo. Cuando tenés 15 puntos de salud o más, avanzá.",S1,S1,M,FINAL: S1,9,S1,S1,True,True,True,False,,2177.123,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-a,D2-P1,D2,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes menos salud que el rival, levanta el escudo. Cuando tienes tanta o más salud que el rival, dispara.",S1,S1,B,FINAL: S1,9,S1,S1,True,True,True,False,,2134.289,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-c,D2-P2,D2,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario. Cuando tu coordenada x es mayor que la del rival, girá 90 grados en sentido antihorario.",C90.0,C90.0,A90.0,FINAL: C90,10,C90,C90.0,True,True,True,False,,2676.184,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-b,D1-P2,D1,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes menos de 15 puntos de salud, levanta el escudo. Cuando tienes 15 puntos de salud o más, avanza.",S1,S1,M,FINAL: S1,9,S1,S1,True,True,True,False,,2127.267,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,D5-P1,D5,es_standard,Tuteo Spanish,b_first,format_only,"Cuando no tienes al menos 10 puntos de salud más que el rival, levanta el escudo. Cuando tienes al menos 10 puntos de salud más que el rival, dispara.",B,S1,B,FINAL: S1,9,S1,S1,True,False,True,False,,2505.921,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,D1-P2,D1,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes menos de 15 puntos de salud, levanta el escudo. Cuando tienes 15 puntos de salud o más, avanza.",M,S1,M,FINAL: M,8,M,M,True,True,False,True,,2008.61,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando exactamente uno de los dos escudos está levantado, avanzá. Cuando los dos escudos están en el mismo estado, dispará.",M,M,B,FINAL: M,8,M,M,True,True,True,False,,2021.336,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,D5-P2,D5,es_rioplatense,Rioplatense voseo,a_first,format_only,"Primero calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es de al menos 0.4, avanzá 0.1. Cuando la distancia es menor que 0.4, girá 90 grados en sentido horario.",M0.1,M0.1,C90.0,FINAL: M0.1,11,M0.1,M0.1,True,True,True,False,,2285.842,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-d,D2-P1,D2,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes menos salud que el rival, levanta el escudo. Cuando tienes tanta o más salud que el rival, dispara.",S1,S1,B,FINAL: S1,9,S1,S1,True,True,True,False,,2089.527,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,D1-P1,D1,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés el escudo levantado, bajalo. Cuando tenés el escudo bajo, dispará.",B,S0,B,FINAL: S0,9,S0,S0,True,False,True,False,,2064.775,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-d,D1-P1,D1,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes el escudo levantado, bájalo. Cuando tienes el escudo bajo, dispara.",B,S0,B,FINAL: B,8,B,B,True,True,False,True,,1917.607,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-c,D2-P1,D2,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes menos salud que el rival, levanta el escudo. Cuando tienes tanta o más salud que el rival, dispara.",B,S1,B,FINAL: S1,9,S1,S1,True,False,True,False,,2040.553,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_standard,Tuteo Spanish,a_first,format_only,"Cuando exactamente uno de los dos escudos está levantado, avanza. Cuando los dos escudos están en el mismo estado, dispara.",M,M,B,FINAL: B,8,B,B,True,False,False,True,,1906.429,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-a,D2-P1,D2,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés tanta o más salud que el rival, dispará. Cuando tenés menos salud que el rival, levantá el escudo.",S1,B,S1,FINAL: B,8,B,B,True,False,True,False,,1940.241,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-c,D1-P2,D1,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes menos de 15 puntos de salud, levanta el escudo. Cuando tienes 15 puntos de salud o más, avanza.",M,S1,M,FINAL: S1,9,S1,S1,True,False,True,False,,2121.956,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-a,D1-P1,D1,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes el escudo levantado, bájalo. Cuando tienes el escudo bajo, dispara.",S0,S0,B,FINAL: S0,9,S0,S0,True,True,True,False,,2039.797,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,D5-P1,D5,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando no tenés al menos 10 puntos de salud más que el rival, levantá el escudo. Cuando tenés al menos 10 puntos de salud más que el rival, dispará.",B,S1,B,FINAL: S1,9,S1,S1,True,False,True,False,,2445.141,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,D1-P1,D1,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes el escudo bajo, dispara. Cuando tienes el escudo levantado, bájalo.",S0,B,S0,FINAL: S0,9,S0,S0,True,True,False,True,,1986.14,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,D5-P1,D5,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés al menos 10 puntos de salud más que el rival, dispará. Cuando no tenés al menos 10 puntos de salud más que el rival, levantá el escudo.",S1,B,S1,FINAL: S1,9,S1,S1,True,True,False,True,,2279.231,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-b,D2-P2,D2,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tu coordenada x es mayor que la del rival, girá 90 grados en sentido antihorario. Cuando tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario.",C90.0,A90.0,C90.0,FINAL: A90,10,A90,A90.0,True,False,True,False,,2472.497,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,D5-P1,D5,es_standard,Tuteo Spanish,b_first,format_only,"Cuando no tienes al menos 10 puntos de salud más que el rival, levanta el escudo. Cuando tienes al menos 10 puntos de salud más que el rival, dispara.",S1,S1,B,FINAL: S1,9,S1,S1,True,True,True,False,,2368.452,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-c,D2-P1,D2,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés tanta o más salud que el rival, dispará. Cuando tenés menos salud que el rival, levantá el escudo.",B,B,S1,FINAL: B,8,B,B,True,True,True,False,,1866.442,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-d,D5-P2,D5,es_standard,Tuteo Spanish,a_first,format_only,"Primero calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es de al menos 0.4, avanza 0.1. Cuando la distancia es menor que 0.4, gira 90 grados en sentido horario.",C90.0,M0.1,C90.0,FINAL: M0.1,11,M0.1,M0.1,True,False,True,False,,2469.13,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-b,D1-P2,D1,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés 15 puntos de salud o más, avanzá. Cuando tenés menos de 15 puntos de salud, levantá el escudo.",S1,M,S1,FINAL: M,8,M,M,True,False,True,False,,1791.175,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-b,D5-P1,D5,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando no tenés al menos 10 puntos de salud más que el rival, levantá el escudo. Cuando tenés al menos 10 puntos de salud más que el rival, dispará.",S1,S1,B,FINAL: S1,9,S1,S1,True,True,True,False,,2229.699,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-a,D3-P2,D3,es_standard,Tuteo Spanish,b_first,format_only,"Cuando los dos escudos están en el mismo estado, dispara. Cuando exactamente uno de los dos escudos está levantado, avanza.",B,B,M,FINAL: M,8,M,M,True,False,False,True,,1725.011,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-a,D2-P1,D2,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés menos salud que el rival, levantá el escudo. Cuando tenés tanta o más salud que el rival, dispará.",S1,S1,B,FINAL: S1,9,S1,S1,True,True,True,False,,1927.287,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,D1-P2,D1,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes 15 puntos de salud o más, avanza. Cuando tienes menos de 15 puntos de salud, levanta el escudo.",S1,M,S1,FINAL: M,8,M,M,True,False,True,False,,1805.561,,stop,5
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-d,D3-P2,D3,es_standard,Tuteo Spanish,b_first,format_only,"Cuando los dos escudos están en el mismo estado, dispara. Cuando exactamente uno de los dos escudos está levantado, avanza.",B,B,M,FINAL: B,8,B,B,True,True,True,False,,13398.815,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-c,D2-P1,D2,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés menos salud que el rival, levantá el escudo. Cuando tenés tanta o más salud que el rival, dispará.",B,S1,B,FINAL: S,8,S,S,True,False,False,False,,361.774,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-a,D2-P2,D2,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario. Cuando tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario.",A90.0,A90.0,C90.0,FINAL: A90,10,A90,A90.0,True,True,True,False,,415.145,,stop,6
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-shield-d,D1-P1,D1,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes el escudo levantado, bájalo. Cuando tienes el escudo bajo, dispara.",B,S0,B,FINAL: S,8,S,S,True,False,False,False,,363.686,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-shield-b,D1-P1,D1,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés el escudo levantado, bajalo. Cuando tenés el escudo bajo, dispará.",B,S0,B,FINAL: S0,9,S0,S0,True,False,True,False,,410.927,,stop,5
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-c,D2-P1,D2,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés tanta o más salud que el rival, dispará. Cuando tenés menos salud que el rival, levantá el escudo.",B,B,S1,FINAL: B,8,B,B,True,True,True,False,,475.793,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-x-distance-c,D5-P2,D5,es_rioplatense,Rioplatense voseo,b_first,format_only,"Primero calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es menor que 0.4, girá 90 grados en sentido horario. Cuando la distancia es de al menos 0.4, avanzá 0.1.",M0.1,C90.0,M0.1,FINAL: C90,10,C90,C90.0,True,False,True,False,,592.965,,stop,6
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-health-a,D1-P2,D1,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes 15 puntos de salud o más, avanza. Cuando tienes menos de 15 puntos de salud, levanta el escudo.",S1,M,S1,FINAL: S,8,S,S,True,False,False,False,,592.847,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-health-difference-b,D5-P1,D5,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando no tenés al menos 10 puntos de salud más que el rival, levantá el escudo. Cuando tenés al menos 10 puntos de salud más que el rival, dispará.",S1,S1,B,FINAL: S,8,S,S,True,False,False,False,,703.953,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando los dos escudos están en el mismo estado, dispará. Cuando exactamente uno de los dos escudos está levantado, avanzá.",M,B,M,FINAL: B,8,B,B,True,False,True,False,,621.224,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-b,D2-P2,D2,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario. Cuando tu coordenada x es mayor que la del rival, girá 90 grados en sentido antihorario.",C90.0,C90.0,A90.0,FINAL: C90,10,C90,C90.0,True,True,True,False,,579.464,,stop,6
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-health-difference-c,D5-P1,D5,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes al menos 10 puntos de salud más que el rival, dispara. Cuando no tienes al menos 10 puntos de salud más que el rival, levanta el escudo.",S1,B,S1,FINAL: B,8,B,B,True,False,True,False,,491.942,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-shield-a,D1-P1,D1,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés el escudo levantado, bajalo. Cuando tenés el escudo bajo, dispará.",S0,S0,B,FINAL: S0,9,S0,S0,True,True,True,False,,445.22,,stop,5
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-x-distance-b,D5-P2,D5,es_rioplatense,Rioplatense voseo,a_first,format_only,"Primero calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es de al menos 0.4, avanzá 0.1. Cuando la distancia es menor que 0.4, girá 90 grados en sentido horario.",C90.0,M0.1,C90.0,FINAL: C90,10,C90,C90.0,True,True,False,True,,504.322,,stop,6
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-conjunction-a,D3-P1,D3,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo. Cuando tienes 15 puntos de salud o más o el escudo está levantado, dispara.",S1,S1,B,FINAL: S,8,S,S,True,False,False,False,,439.432,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-b,D2-P2,D2,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario. Cuando tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario.",C90.0,C90.0,A90.0,FINAL: C90,10,C90,C90.0,True,True,True,False,,480.547,,stop,6
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-x-distance-b,D5-P2,D5,es_standard,Tuteo Spanish,a_first,format_only,"Primero calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es de al menos 0.4, avanza 0.1. Cuando la distancia es menor que 0.4, gira 90 grados en sentido horario.",C90.0,M0.1,C90.0,FINAL: M0.1,11,M0.1,M0.1,True,False,True,False,,467.924,,stop,7
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-health-d,D1-P2,D1,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes menos de 15 puntos de salud, levanta el escudo. Cuando tienes 15 puntos de salud o más, avanza.",M,S1,M,FINAL: S,8,S,S,True,False,False,False,,409.1,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-conjunction-a,D3-P1,D3,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo. Cuando tenés 15 puntos de salud o más o el escudo está levantado, dispará.",S1,S1,B,FINAL: S,8,S,S,True,False,False,False,,441.473,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-shield-a,D1-P1,D1,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés el escudo bajo, dispará. Cuando tenés el escudo levantado, bajalo.",S0,B,S0,FINAL: B,8,B,B,True,False,True,False,,426.189,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-b,D2-P1,D2,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés menos salud que el rival, levantá el escudo. Cuando tenés tanta o más salud que el rival, dispará.",B,S1,B,FINAL: S,8,S,S,True,False,False,False,,432.233,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-health-difference-b,D5-P1,D5,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés al menos 10 puntos de salud más que el rival, dispará. Cuando no tenés al menos 10 puntos de salud más que el rival, levantá el escudo.",S1,B,S1,FINAL: S,8,S,S,True,False,False,False,,464.448,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando exactamente uno de los dos escudos está levantado, avanzá. Cuando los dos escudos están en el mismo estado, dispará.",M,M,B,FINAL: M,8,M,M,True,True,True,False,,451.845,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-a,D3-P2,D3,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando exactamente uno de los dos escudos está levantado, avanzá. Cuando los dos escudos están en el mismo estado, dispará.",B,M,B,FINAL: M,8,M,M,True,False,True,False,,379.965,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d5-health-difference-b,D5-P1,D5,es_standard,Tuteo Spanish,b_first,format_only,"Cuando no tienes al menos 10 puntos de salud más que el rival, levanta el escudo. Cuando tienes al menos 10 puntos de salud más que el rival, dispara.",S1,S1,B,FINAL: S,8,S,S,True,False,False,False,,485.798,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-a,D2-P1,D2,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés tanta o más salud que el rival, dispará. Cuando tenés menos salud que el rival, levantá el escudo.",S1,B,S1,FINAL: B,8,B,B,True,False,True,False,,465.976,,stop,4
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-health-c,D1-P2,D1,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes menos de 15 puntos de salud, levanta el escudo. Cuando tienes 15 puntos de salud o más, avanza.",M,S1,M,FINAL: S,8,S,S,True,False,False,False,,460.067,,stop,4
